Nombre;Categoría;Raciones;Elaboración;Ingredientes
Espaguetis a la carbonara;Pasta y arroz;2;Sartén;Pasta de trigo cruda:180g|Huevo entero crudo:2ud|Queso parmesano rallado:2cuchara|Panceta curada:80g|Pimienta negra molida:1cuchara
Macarrones con tomate;Pasta y arroz;2;Cazuela;Macarrones crudos:180g|Tomate frito (salsa):3cuchara|Aceite de oliva virgen extra:1cuchara|Sal común:1cuchara
Arroz con pollo;Pasta y arroz;4;Cazuela;Arroz blanco crudo:320g|Pechuga de pollo cruda:400g|Cebolla cruda:1ud|Pimiento rojo crudo:1ud|Tomate fresco:2ud|Ajo crudo:2ud|Aceite de oliva virgen extra:3cuchara|Sal común:1cuchara|Pimentón dulce:1cuchara
Paella de verduras;Pasta y arroz;4;Cazuela;Arroz blanco crudo:320g|Pimiento rojo crudo:1ud|Pimiento verde crudo:1ud|Zanahoria cruda:2ud|Judías verdes planas:150g|Cebolla cruda:1ud|Tomate fresco:2ud|Aceite de oliva virgen extra:3cuchara|Sal común:1cuchara|Cúrcuma en polvo:1cuchara
Risotto de champiñones;Pasta y arroz;4;Cazuela;Arroz blanco crudo:320g|Champiñón fresco:300g|Cebolla cruda:1ud|Queso parmesano rallado:3cuchara|Mantequilla:2cuchara|Aceite de oliva virgen extra:2cuchara|Sal común:1cuchara
Pasta con pesto;Pasta y arroz;2;Cazuela;Pasta de trigo cruda:180g|Pesto (salsa):3cuchara|Queso parmesano rallado:2cuchara
Arroz tres delicias;Pasta y arroz;2;Sartén;Arroz blanco cocido:300g|Huevo entero crudo:2ud|Zanahoria cruda:1ud|Guisantes cocidos:80g|Salsa de soja:2cuchara|Aceite de girasol:2cuchara
Fideos con almejas;Pasta y arroz;4;Cazuela;Fideos crudos:300g|Almejas frescas:500g|Ajo crudo:3ud|Aceite de oliva virgen extra:3cuchara|Perejil seco:1cuchara|Sal común:1cuchara
Pasta boloñesa;Pasta y arroz;4;Cazuela;Pasta de trigo cruda:320g|Carne picada de ternera:400g|Tomate triturado (lata):400g|Cebolla cruda:1ud|Ajo crudo:2ud|Aceite de oliva virgen extra:2cuchara|Orégano seco:1cuchara|Sal común:1cuchara
Arroz con leche;Pasta y arroz;4;Cazuela;Arroz blanco crudo:200g|Leche entera:1000ml|Azúcar blanco:6cuchara|Canela molida:1cuchara
Pechuga de pollo a la plancha;Carnes a la plancha;2;Sartén;Pechuga de pollo cruda:2ud|Aceite de oliva virgen extra:1cuchara|Sal común:1cuchara|Pimienta negra molida:1cuchara
Solomillo de ternera a la plancha;Carnes a la plancha;2;Sartén;Solomillo de ternera:2ud|Aceite de oliva virgen extra:1cuchara|Sal común:1cuchara|Pimienta negra molida:1cuchara
Hamburguesa casera;Carnes a la plancha;2;Sartén;Hamburguesa de ternera (cruda):2ud|Pan de hamburguesa:2ud|Tomate fresco:1ud|Lechuga:50g|Mostaza de Dijon:1cuchara
Pechuga de pavo a la plancha;Carnes a la plancha;2;Sartén;Pechuga de pavo cruda:2ud|Aceite de oliva virgen extra:1cuchara|Sal común:1cuchara|Limón:1ud
Lomo de cerdo a la plancha;Carnes a la plancha;2;Sartén;Lomo de cerdo:2ud|Aceite de oliva virgen extra:1cuchara|Ajo en polvo:1cuchara|Sal común:1cuchara
Alitas de pollo al horno;Carnes a la plancha;2;Horno;Alitas de pollo crudas:8ud|Aceite de oliva virgen extra:2cuchara|Ajo en polvo:1cuchara|Pimentón dulce:1cuchara|Sal común:1cuchara
Entrecot a la plancha;Carnes a la plancha;2;Sartén;Entrecot de ternera:2ud|Aceite de oliva virgen extra:1cuchara|Sal común:1cuchara|Pimienta negra molida:1cuchara
Pollo al horno con patatas;Carnes guisadas;4;Horno;Pechuga de pollo cruda:4ud|Patata cruda:4ud|Ajo crudo:4ud|Aceite de oliva virgen extra:3cuchara|Romero seco:1cuchara|Sal común:1cuchara|Pimienta negra molida:1cuchara
Estofado de ternera;Carnes guisadas;4;Cazuela;Filete de ternera:600g|Patata cruda:3ud|Zanahoria cruda:2ud|Cebolla cruda:1ud|Tomate triturado (lata):200g|Aceite de oliva virgen extra:2cuchara|Sal común:1cuchara
Pollo en salsa de tomate;Carnes guisadas;4;Cazuela;Pechuga de pollo cruda:4ud|Tomate frito (salsa):4cuchara|Cebolla cruda:1ud|Ajo crudo:2ud|Aceite de oliva virgen extra:2cuchara|Sal común:1cuchara|Orégano seco:1cuchara
Costillas al horno;Carnes guisadas;4;Horno;Costilla de cerdo:8ud|Salsa teriyaki:3cuchara|Ajo en polvo:1cuchara|Miel:1cuchara|Sal común:1cuchara
Muslos de pollo guisados;Carnes guisadas;4;Cazuela;Muslo de pollo crudo:4ud|Cebolla cruda:1ud|Zanahoria cruda:2ud|Vino blanco:100ml|Aceite de oliva virgen extra:2cuchara|Sal común:1cuchara
Carrilleras de cerdo;Carnes guisadas;4;Cazuela;Lomo de cerdo:600g|Cebolla cruda:2ud|Zanahoria cruda:2ud|Sal común:1cuchara|Aceite de oliva virgen extra:2cuchara
Pollo al curry;Carnes guisadas;4;Cazuela;Pechuga de pollo cruda:4ud|Leche de coco (para cocinar):200ml|Cebolla cruda:1ud|Ajo crudo:2ud|Curry en polvo:2cuchara|Aceite de oliva virgen extra:2cuchara|Sal común:1cuchara
